time: 189123, epoch: 1, step: 394, outputs are [6.302748]
time: 189170, epoch: 1, step: 395, outputs are [6.3735943]
time: 189213, epoch: 1, step: 396, outputs are [6.150069]
time: 189259, epoch: 1, step: 397, outputs are [6.2474265]
time: 189305, epoch: 1, step: 398, outputs are [6.2678194]
time: 189351, epoch: 1, step: 399, outputs are [6.070759]
time: 189397, epoch: 1, step: 400, outputs are [6.0676208]
time: 189451, epoch: 1, step: 401, outputs are [6.064462]
time: 189496, epoch: 1, step: 402, outputs are [6.190414]
time: 189537, epoch: 1, step: 403, outputs are [6.1387234]
time: 189581, epoch: 1, step: 404, outputs are [6.09818]
time: 189624, epoch: 1, step: 405, outputs are [6.389213]
time: 189665, epoch: 1, step: 406, outputs are [6.2963886]
time: 189705, epoch: 1, step: 407, outputs are [6.5911965]
time: 189747, epoch: 1, step: 408, outputs are [6.2455354]
time: 189793, epoch: 1, step: 409, outputs are [6.3846226]
time: 189836, epoch: 1, step: 410, outputs are [6.5269156]
time: 189888, epoch: 1, step: 411, outputs are [6.2550583]
time: 189935, epoch: 1, step: 412, outputs are [6.1505322]
time: 189983, epoch: 1, step: 413, outputs are [6.373305]
time: 190027, epoch: 1, step: 414, outputs are [6.1775217]
time: 190075, epoch: 1, step: 415, outputs are [6.3880696]
time: 190121, epoch: 1, step: 416, outputs are [6.1381598]
time: 190167, epoch: 1, step: 417, outputs are [6.422755]
time: 190215, epoch: 1, step: 418, outputs are [6.3827767]
time: 190255, epoch: 1, step: 419, outputs are [6.2273765]
time: 190299, epoch: 1, step: 420, outputs are [6.2750587]
time: 190344, epoch: 1, step: 421, outputs are [6.2395244]
time: 190389, epoch: 1, step: 422, outputs are [6.098258]
time: 190430, epoch: 1, step: 423, outputs are [6.039871]
time: 190472, epoch: 1, step: 424, outputs are [6.066779]
time: 190517, epoch: 1, step: 425, outputs are [6.0828576]
time: 190563, epoch: 1, step: 426, outputs are [6.0966268]
time: 190608, epoch: 1, step: 427, outputs are [6.3699784]
time: 190652, epoch: 1, step: 428, outputs are [6.1658034]
time: 190698, epoch: 1, step: 429, outputs are [6.5284085]
time: 190747, epoch: 1, step: 430, outputs are [6.320955]
time: 190793, epoch: 1, step: 431, outputs are [6.371021]
time: 190838, epoch: 1, step: 432, outputs are [6.463571]
time: 190886, epoch: 1, step: 433, outputs are [6.6457458]
time: 190931, epoch: 1, step: 434, outputs are [6.329877]
time: 190981, epoch: 1, step: 435, outputs are [6.198648]
time: 191025, epoch: 1, step: 436, outputs are [6.178728]
time: 191068, epoch: 1, step: 437, outputs are [6.231891]
time: 191112, epoch: 1, step: 438, outputs are [6.0345297]
time: 191158, epoch: 1, step: 439, outputs are [6.5324564]
time: 191209, epoch: 1, step: 440, outputs are [6.2336597]
time: 191257, epoch: 1, step: 441, outputs are [6.273125]
time: 191302, epoch: 1, step: 442, outputs are [6.282063]
time: 191352, epoch: 1, step: 443, outputs are [6.2521195]
time: 191400, epoch: 1, step: 444, outputs are [5.7941046]
time: 191448, epoch: 1, step: 445, outputs are [5.9329934]
time: 191498, epoch: 1, step: 446, outputs are [5.994441]
time: 191546, epoch: 1, step: 447, outputs are [6.355816]
time: 191593, epoch: 1, step: 448, outputs are [6.2288694]
time: 191640, epoch: 1, step: 449, outputs are [6.313713]
time: 191693, epoch: 1, step: 450, outputs are [6.3607707]
time: 191740, epoch: 1, step: 451, outputs are [6.076677]
time: 191797, epoch: 1, step: 452, outputs are [6.0550942]
time: 191851, epoch: 1, step: 453, outputs are [6.1868734]
time: 191897, epoch: 1, step: 454, outputs are [6.3027425]
time: 191952, epoch: 1, step: 455, outputs are [6.3370376]
time: 191999, epoch: 1, step: 456, outputs are [6.288716]
time: 192048, epoch: 1, step: 457, outputs are [6.1206927]
time: 192096, epoch: 1, step: 458, outputs are [5.79639]
time: 192148, epoch: 1, step: 459, outputs are [5.8566527]
time: 192198, epoch: 1, step: 460, outputs are [6.1189857]
time: 192251, epoch: 1, step: 461, outputs are [6.3481636]
time: 192294, epoch: 1, step: 462, outputs are [6.320736]
time: 192336, epoch: 1, step: 463, outputs are [6.548316]
time: 192387, epoch: 1, step: 464, outputs are [6.0920825]
time: 192435, epoch: 1, step: 465, outputs are [5.9813333]
time: 192487, epoch: 1, step: 466, outputs are [6.0291076]
time: 192532, epoch: 1, step: 467, outputs are [6.064355]
time: 192585, epoch: 1, step: 468, outputs are [6.15128]
time: 192633, epoch: 1, step: 469, outputs are [6.2113276]
time: 192685, epoch: 1, step: 470, outputs are [6.2357087]
time: 192729, epoch: 1, step: 471, outputs are [5.8911614]
time: 192772, epoch: 1, step: 472, outputs are [5.8870687]
time: 192816, epoch: 1, step: 473, outputs are [6.255509]
time: 192862, epoch: 1, step: 474, outputs are [6.383852]
time: 192909, epoch: 1, step: 475, outputs are [6.2333083]
